Source;Titre;Marque;Modèle;Année;Prix_DT;Kilométrage;Energie;Boite;Localisation;Puissance_Fiscale;Etat_Vehicule;Description;Annonce-Deposee;Annonce-Detectee;Statut;Lien
sayyaratn.com;Volkswagen Passat b6 2002 — 24 500 DT;Volkswagen;Passat b6;2002;24500;;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/b3d88593-f199-4083-b664-92894bcf7c67
sayyaratn.com;Audi A1 2011 — 32 000 DT;Audi;A1;2011;32000;260000;diesel;automatique;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/cc950779-37e6-4e24-a796-31d9aa2ead54
sayyaratn.com;Kia xceed 2022 — 89 900 DT;Kia;xceed;2022;89900;99000;essence;automatique;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/5ea82a40-40be-471f-a689-f28348e38cd3
sayyaratn.com;Skoda Fabia 2021 — 100 000 DT;Skoda;Fabia;2021;100000;3999981;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/a2a1f6f1-abcc-41ef-8b1b-34c63fe107f8
sayyaratn.com;Fiat fiat uno fire 2003 — 11 800 DT;Fiat;fiat uno fire;2003;11800;255800;essence;manuelle;;4;moyen;;;2026-07-29;Active;https://www.sayyaratn.com/annonce/aa600572-0bb4-4969-94e8-d1b7929d105c
sayyaratn.com;Nissan Navara 2010 — 46 000 DT;Nissan;Navara;2010;46000;268000;diesel;manuelle;;10;excellent;;;2026-08-04;Active;https://www.sayyaratn.com/annonce/e4e69994-680a-4e7a-be64-5f89cefae80b
sayyaratn.com;Renault Clio 2020 — 45 000 DT;Renault;Clio;2020;45000;70000;essence;manuelle;;5;excellent;;;2026-08-04;Active;https://www.sayyaratn.com/annonce/eb6d0baa-dbfd-4545-9b8f-05ddc2e1c236
sayyaratn.com;Volkswagen Tiguan 2023 — 97 000 DT;Volkswagen;Tiguan;2023;97000;158200;hybride;automatique;;8;excellent;;;2026-08-07;Active;https://www.sayyaratn.com/annonce/0fb1b9d0-bf3c-4bf1-9953-50efe52d6779
sayyaratn.com;MAHINDRA KUV100 2019 — 27 500 DT;MAHINDRA;KUV100;2019;27500;74500;essence;manuelle;;5;excellent;;;2026-08-12;Active;https://www.sayyaratn.com/annonce/048505e8-479f-4a56-bb99-db1625ba98c2
sayyaratn.com;Mahindra KUV 100 2018 — 25 DT;Mahindra;KUV 100;2018;25;118000;essence;manuelle;;5;tres_bon;;;2026-08-22;Active;https://www.sayyaratn.com/annonce/4287a13c-6b2f-4a4f-8ea0-763350c1d703
sayyaratn.com;Kia Sportage 2007 — 28 500 DT;Kia;Sportage;2007;28500;283000;diesel;manuelle;;9;bon;;;2026-08-24;Active;https://www.sayyaratn.com/annonce/9725ba8d-8b04-4568-a2c7-a96c9e1d337e
sayyaratn.com;Alfa Roméo Giulietta 2011 — 31 000 DT;Alfa Roméo;Giulietta;2011;31000;123000;essence;manuelle;;7;excellent;;;2026-09-05;Active;https://www.sayyaratn.com/annonce/8b5b50e7-2724-4203-aeff-670658bbb7aa
