Titre;Prix_DT;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut
Peugeot 308;26000;https://www.automax.tn/annonces/peugeot-308/;AutoMax;2026-07-13;2025-06-22;Peugeot;308;2009;126000;Manuelle;Essence;Tunis;6;;
Renault Trafic;8000;https://www.automax.tn/annonces/renault-trafic/;AutoMax;2026-07-13;2025-06-19;Renault;Trafic;2001;600;Manuelle;Diesel;Tunis;10;;
Peugeot 306;13000;https://www.automax.tn/annonces/peugeot-306/;AutoMax;2026-07-13;2025-06-19;Peugeot;306;1999;425000;Manuelle;Diesel;Tunis;6;;
Suzuki Swift;37500;https://www.automax.tn/annonces/suzuki-swift-4/;AutoMax;2026-07-13;2025-06-09;Suzuki;Swift;2021;130000;Manuelle;Essence;Manouba;5;;
Peugeot 2008;42000;https://www.automax.tn/annonces/peugeot-2008-3/;AutoMax;2026-07-13;2025-05-27;Peugeot;2008;2018;129000;Manuelle;Essence;Ben Arous;5;;
Chery Arrizo 5;38500;https://www.automax.tn/annonces/chery-arrizo-5-2/;AutoMax;2026-07-13;2025-05-26;Chery;Arrizo 5;2019;160000;Manuelle;Essence;Ariana;7;;
Citroen C-Elysee;25500;https://www.automax.tn/annonces/citroen-c-elysee/;AutoMax;2026-07-13;2025-05-26;Citroen;C-Elysee;2015;193000;Manuelle;Essence;Ariana;5;;
Mg Zs;76000;https://www.automax.tn/annonces/mg-zs/;AutoMax;2026-07-13;2025-05-15;Mg;Zs;2021;30000;Automatique;Essence;Ariana;7;;
Kia Rio;57000;https://www.automax.tn/annonces/kia-rio-6/;AutoMax;2026-07-13;2025-05-11;Kia;Rio;2020;180000;Automatique;Essence;Sousse;6;;
Peugeot 3008;72000;https://www.automax.tn/annonces/peugeot-3008-4/;AutoMax;2026-07-13;2025-05-07;Peugeot;3008;2019;114000;Automatique;Essence;Sousse;9;;
Fiat Ducato;14500;https://www.automax.tn/annonces/fiat-ducato/;AutoMax;2026-07-13;2025-05-05;Fiat;Ducato;1998;470;Manuelle;Diesel;Bizerte;9;;
Fiat 500;39000;https://www.automax.tn/annonces/fiat-500/;AutoMax;2026-07-13;2025-05-05;Fiat;500;2018;112000;Automatique;Essence;Tunis;4;;
Kia Optima;46000;https://www.automax.tn/annonces/kia-optima/;AutoMax;2026-07-13;2025-04-27;Kia;Optima;2013;144000;Automatique;Essence;Nabeul;10;;
Mg Hs;85000;https://www.automax.tn/annonces/mg-hs/;AutoMax;2026-07-13;2025-04-19;Mg;Hs;2020;20000;Automatique;Essence;Sousse;10;;
Kia Rio;54000;https://www.automax.tn/annonces/kia-rio-4/;AutoMax;2026-07-13;2025-04-07;Kia;Rio;2020;50000;Manuelle;Essence;Tunis;5;;
Suzuki Swift;0;https://www.automax.tn/annonces/suzuki-swift-3/;AutoMax;2026-07-13;2025-04-01;Suzuki;Swift;2021;92000;Automatique;Essence;Tunis;5;;
Mercedes Classe A;63500;https://www.automax.tn/annonces/mercedes-classe-a-2/;AutoMax;2026-07-13;2025-03-20;Mercedes;Classe A;2013;220000;Manuelle;Essence;Tunis;7;;
Opel Combo;640000;https://www.automax.tn/annonces/opel-combo/;AutoMax;2026-07-13;2025-03-02;Opel;Combo;2025;770;Manuelle;Diesel;Bizerte;50;;
Mercedes Classe S;145000;https://www.automax.tn/annonces/mercedes-classe-s/;AutoMax;2026-07-13;2025-02-18;Mercedes;Classe S;2009;208000;Automatique;Diesel;Nabeul;15;;
Chevrolet Trax;49900;https://www.automax.tn/annonces/chevrolet-trax/;AutoMax;2026-07-13;2025-02-15;Chevrolet;Trax;2019;79000;Manuelle;Essence;Ariana;8;;
